,CONCAT,State Name,Year,index_nsa
0,Alaska_1975,Alaska,1975,200.74
1,Alaska_1976,Alaska,1976,295.63
2,Alaska_1977,Alaska,1977,313.37
3,Alaska_1978,Alaska,1978,344.02
4,Alaska_1979,Alaska,1979,379.99
5,Alaska_1980,Alaska,1980,351.3
6,Alaska_1981,Alaska,1981,443.39
7,Alaska_1982,Alaska,1982,544.94
8,Alaska_1983,Alaska,1983,571.59
9,Alaska_1984,Alaska,1984,604.54
10,Alaska_1985,Alaska,1985,577.14
11,Alaska_1986,Alaska,1986,565.12
12,Alaska_1987,Alaska,1987,478.84
13,Alaska_1988,Alaska,1988,494.49
14,Alaska_1989,Alaska,1989,438.98
15,Alaska_1990,Alaska,1990,453.01
16,Alaska_1991,Alaska,1991,513.94
17,Alaska_1992,Alaska,1992,538.02
18,Alaska_1993,Alaska,1993,548.88
19,Alaska_1994,Alaska,1994,573.65
20,Alaska_1995,Alaska,1995,597.87
21,Alaska_1996,Alaska,1996,624.87
22,Alaska_1997,Alaska,1997,642.33
23,Alaska_1998,Alaska,1998,662.4
24,Alaska_1999,Alaska,1999,685.45
25,Alaska_2000,Alaska,2000,696.96
26,Alaska_2001,Alaska,2001,731.95
27,Alaska_2002,Alaska,2002,771.83
28,Alaska_2003,Alaska,2003,809.96
29,Alaska_2004,Alaska,2004,891.39
30,Alaska_2005,Alaska,2005,1001.5
31,Alaska_2006,Alaska,2006,1099.92
32,Alaska_2007,Alaska,2007,1143.16
33,Alaska_2008,Alaska,2008,1138.34
34,Alaska_2009,Alaska,2009,1132.64
35,Alaska_2010,Alaska,2010,1126.21
36,Alaska_2011,Alaska,2011,1135.51
37,Alaska_2012,Alaska,2012,1140.63
38,Alaska_2013,Alaska,2013,1174.99
39,Alaska_2014,Alaska,2014,1198.87
40,Alaska_2015,Alaska,2015,1238.91
41,Alaska_2016,Alaska,2016,1262.97
42,Alaska_2017,Alaska,2017,1279.09
43,Alaska_2018,Alaska,2018,1291.59
44,Alaska_2019,Alaska,2019,1321.65
45,Alaska_2020,Alaska,2020,1365.7
46,Alaska_2021,Alaska,2021,1479.27
47,Alaska_2022,Alaska,2022,811.82
48,Alabama_1975,Alabama,1975,293.52
49,Alabama_1976,Alabama,1976,308.32
50,Alabama_1977,Alabama,1977,342.38
51,Alabama_1978,Alabama,1978,370.08
52,Alabama_1979,Alabama,1979,409.22
53,Alabama_1980,Alabama,1980,421.81
54,Alabama_1981,Alabama,1981,433.45
55,Alabama_1982,Alabama,1982,439.39
56,Alabama_1983,Alabama,1983,459.61
57,Alabama_1984,Alabama,1984,489.77
58,Alabama_1985,Alabama,1985,501.71
59,Alabama_1986,Alabama,1986,530.72
60,Alabama_1987,Alabama,1987,555.24
61,Alabama_1988,Alabama,1988,569.05
62,Alabama_1989,Alabama,1989,577.01
63,Alabama_1990,Alabama,1990,586.91
64,Alabama_1991,Alabama,1991,605.65
65,Alabama_1992,Alabama,1992,629.72
66,Alabama_1993,Alabama,1993,656.63
67,Alabama_1994,Alabama,1994,680.58
68,Alabama_1995,Alabama,1995,707.99
69,Alabama_1996,Alabama,1996,736.59
70,Alabama_1997,Alabama,1997,764.23
71,Alabama_1998,Alabama,1998,803.13
72,Alabama_1999,Alabama,1999,823.95
73,Alabama_2000,Alabama,2000,844.58
74,Alabama_2001,Alabama,2001,891.17
75,Alabama_2002,Alabama,2002,917.32
76,Alabama_2003,Alabama,2003,953.81
77,Alabama_2004,Alabama,2004,990.13
78,Alabama_2005,Alabama,2005,1059.84
79,Alabama_2006,Alabama,2006,1143.85
80,Alabama_2007,Alabama,2007,1197.91
81,Alabama_2008,Alabama,2008,1211.39
82,Alabama_2009,Alabama,2009,1193.91
83,Alabama_2010,Alabama,2010,1149.02
84,Alabama_2011,Alabama,2011,1110.48
85,Alabama_2012,Alabama,2012,1104.45
86,Alabama_2013,Alabama,2013,1096.49
87,Alabama_2014,Alabama,2014,1109.3
88,Alabama_2015,Alabama,2015,1139.91
89,Alabama_2016,Alabama,2016,1173.09
90,Alabama_2017,Alabama,2017,1208.76
91,Alabama_2018,Alabama,2018,1258.42
92,Alabama_2019,Alabama,2019,1321.09
93,Alabama_2020,Alabama,2020,1397.32
94,Alabama_2021,Alabama,2021,1578.8
95,Alabama_2022,Alabama,2022,896.3
96,Arkansas_1975,Arkansas,1975,254.72
97,Arkansas_1976,Arkansas,1976,279.24
98,Arkansas_1977,Arkansas,1977,307.28
