type,flavor,state,index type,index,year
traditional,all-transactions,Alaska,index_nsa,200.74,1975
traditional,all-transactions,Alaska,index_nsa,295.63,1976
traditional,all-transactions,Alaska,index_nsa,313.37,1977
traditional,all-transactions,Alaska,index_nsa,344.02,1978
traditional,all-transactions,Alaska,index_nsa,379.99,1979
traditional,all-transactions,Alaska,index_nsa,351.3,1980
traditional,all-transactions,Alaska,index_nsa,443.39,1981
traditional,all-transactions,Alaska,index_nsa,544.94,1982
traditional,all-transactions,Alaska,index_nsa,571.59,1983
traditional,all-transactions,Alaska,index_nsa,604.54,1984
traditional,all-transactions,Alaska,index_nsa,577.14,1985
traditional,all-transactions,Alaska,index_nsa,565.12,1986
traditional,all-transactions,Alaska,index_nsa,478.84,1987
traditional,all-transactions,Alaska,index_nsa,494.49,1988
traditional,all-transactions,Alaska,index_nsa,438.98,1989
traditional,all-transactions,Alaska,index_nsa,453.01,1990
traditional,all-transactions,Alaska,index_nsa,513.94,1991
traditional,all-transactions,Alaska,index_nsa,538.02,1992
traditional,all-transactions,Alaska,index_nsa,548.88,1993
traditional,all-transactions,Alaska,index_nsa,573.65,1994
traditional,all-transactions,Alaska,index_nsa,597.87,1995
traditional,all-transactions,Alaska,index_nsa,624.87,1996
traditional,all-transactions,Alaska,index_nsa,642.33,1997
traditional,all-transactions,Alaska,index_nsa,662.4,1998
traditional,all-transactions,Alaska,index_nsa,685.45,1999
traditional,all-transactions,Alaska,index_nsa,696.96,2000
traditional,all-transactions,Alaska,index_nsa,731.95,2001
traditional,all-transactions,Alaska,index_nsa,771.83,2002
traditional,all-transactions,Alaska,index_nsa,809.96,2003
traditional,all-transactions,Alaska,index_nsa,891.39,2004
traditional,all-transactions,Alaska,index_nsa,1001.5,2005
traditional,all-transactions,Alaska,index_nsa,1099.92,2006
traditional,all-transactions,Alaska,index_nsa,1143.16,2007
traditional,all-transactions,Alaska,index_nsa,1138.34,2008
traditional,all-transactions,Alaska,index_nsa,1132.64,2009
traditional,all-transactions,Alaska,index_nsa,1126.21,2010
traditional,all-transactions,Alaska,index_nsa,1135.51,2011
traditional,all-transactions,Alaska,index_nsa,1140.63,2012
traditional,all-transactions,Alaska,index_nsa,1174.99,2013
traditional,all-transactions,Alaska,index_nsa,1198.87,2014
traditional,all-transactions,Alaska,index_nsa,1238.91,2015
traditional,all-transactions,Alaska,index_nsa,1262.97,2016
traditional,all-transactions,Alaska,index_nsa,1279.09,2017
traditional,all-transactions,Alaska,index_nsa,1291.59,2018
traditional,all-transactions,Alaska,index_nsa,1321.65,2019
traditional,all-transactions,Alaska,index_nsa,1365.7,2020
traditional,all-transactions,Alaska,index_nsa,1479.27,2021
traditional,all-transactions,Alaska,index_nsa,811.82,2022
traditional,expanded-data,Alaska,index_nsa,0,1975
traditional,expanded-data,Alaska,index_nsa,0,1976
traditional,expanded-data,Alaska,index_nsa,0,1977
traditional,expanded-data,Alaska,index_nsa,0,1978
traditional,expanded-data,Alaska,index_nsa,0,1979
traditional,expanded-data,Alaska,index_nsa,0,1980
traditional,expanded-data,Alaska,index_nsa,0,1981
traditional,expanded-data,Alaska,index_nsa,0,1982
traditional,expanded-data,Alaska,index_nsa,0,1983
traditional,expanded-data,Alaska,index_nsa,0,1984
traditional,expanded-data,Alaska,index_nsa,0,1985
traditional,expanded-data,Alaska,index_nsa,0,1986
traditional,expanded-data,Alaska,index_nsa,0,1987
traditional,expanded-data,Alaska,index_nsa,0,1988
traditional,expanded-data,Alaska,index_nsa,0,1989
traditional,expanded-data,Alaska,index_nsa,0,1990
traditional,expanded-data,Alaska,index_nsa,401.36,1991
traditional,expanded-data,Alaska,index_nsa,413.61,1992
traditional,expanded-data,Alaska,index_nsa,427.05,1993
traditional,expanded-data,Alaska,index_nsa,450.66,1994
traditional,expanded-data,Alaska,index_nsa,469.95,1995
traditional,expanded-data,Alaska,index_nsa,491.05,1996
traditional,expanded-data,Alaska,index_nsa,504.28,1997
traditional,expanded-data,Alaska,index_nsa,525.87,1998
traditional,expanded-data,Alaska,index_nsa,541.89,1999
traditional,expanded-data,Alaska,index_nsa,560.47,2000
traditional,expanded-data,Alaska,index_nsa,597.21,2001
traditional,expanded-data,Alaska,index_nsa,636.65,2002
traditional,expanded-data,Alaska,index_nsa,683.25,2003
traditional,expanded-data,Alaska,index_nsa,742.6,2004
traditional,expanded-data,Alaska,index_nsa,826.64,2005
traditional,expanded-data,Alaska,index_nsa,894.96,2006
traditional,expanded-data,Alaska,index_nsa,923.69,2007
traditional,expanded-data,Alaska,index_nsa,909.47,2008
traditional,expanded-data,Alaska,index_nsa,906.46,2009
traditional,expanded-data,Alaska,index_nsa,903.13,2010
traditional,expanded-data,Alaska,index_nsa,906.32,2011
traditional,expanded-data,Alaska,index_nsa,916.23,2012
traditional,expanded-data,Alaska,index_nsa,941.12,2013
traditional,expanded-data,Alaska,index_nsa,964.75,2014
traditional,expanded-data,Alaska,index_nsa,1000.81,2015
traditional,expanded-data,Alaska,index_nsa,1025.72,2016
traditional,expanded-data,Alaska,index_nsa,1030.38,2017
traditional,expanded-data,Alaska,index_nsa,1042.01,2018
traditional,expanded-data,Alaska,index_nsa,1077.29,2019
traditional,expanded-data,Alaska,index_nsa,1128.14,2020
traditional,expanded-data,Alaska,index_nsa,1250.68,2021
traditional,expanded-data,Alaska,index_nsa,675.4,2022
traditional,purchase-only,Alaska,index_nsa,0,1975
traditional,purchase-only,Alaska,index_nsa,0,1976
traditional,purchase-only,Alaska,index_nsa,0,1977
traditional,purchase-only,Alaska,index_nsa,0,1978
traditional,purchase-only,Alaska,index_nsa,0,1979
traditional,purchase-only,Alaska,index_nsa,0,1980
traditional,purchase-only,Alaska,index_nsa,0,1981
traditional,purchase-only,Alaska,index_nsa,0,1982
traditional,purchase-only,Alaska,index_nsa,0,1983
traditional,purchase-only,Alaska,index_nsa,0,1984
traditional,purchase-only,Alaska,index_nsa,0,1985
traditional,purchase-only,Alaska,index_nsa,0,1986
traditional,purchase-only,Alaska,index_nsa,0,1987
traditional,purchase-only,Alaska,index_nsa,0,1988
traditional,purchase-only,Alaska,index_nsa,0,1989
traditional,purchase-only,Alaska,index_nsa,0,1990
traditional,purchase-only,Alaska,index_nsa,405.7,1991
traditional,purchase-only,Alaska,index_nsa,416.92,1992
traditional,purchase-only,Alaska,index_nsa,431.07,1993
traditional,purchase-only,Alaska,index_nsa,447.64,1994
traditional,purchase-only,Alaska,index_nsa,466.42,1995
traditional,purchase-only,Alaska,index_nsa,485.75,1996
traditional,purchase-only,Alaska,index_nsa,499.02,1997
traditional,purchase-only,Alaska,index_nsa,516.99,1998
traditional,purchase-only,Alaska,index_nsa,532.79,1999
traditional,purchase-only,Alaska,index_nsa,544.96,2000
traditional,purchase-only,Alaska,index_nsa,580.31,2001
traditional,purchase-only,Alaska,index_nsa,618.32,2002
traditional,purchase-only,Alaska,index_nsa,663.96,2003
traditional,purchase-only,Alaska,index_nsa,727.76,2004
traditional,purchase-only,Alaska,index_nsa,806.77,2005
traditional,purchase-only,Alaska,index_nsa,870.98,2006
traditional,purchase-only,Alaska,index_nsa,900.21,2007
traditional,purchase-only,Alaska,index_nsa,892.47,2008
traditional,purchase-only,Alaska,index_nsa,875.13,2009
traditional,purchase-only,Alaska,index_nsa,878.89,2010
traditional,purchase-only,Alaska,index_nsa,897.37,2011
traditional,purchase-only,Alaska,index_nsa,896.85,2012
traditional,purchase-only,Alaska,index_nsa,922.07,2013
traditional,purchase-only,Alaska,index_nsa,942.79,2014
traditional,purchase-only,Alaska,index_nsa,972.17,2015
traditional,purchase-only,Alaska,index_nsa,991.79,2016
traditional,purchase-only,Alaska,index_nsa,1004.28,2017
traditional,purchase-only,Alaska,index_nsa,1022.58,2018
traditional,purchase-only,Alaska,index_nsa,1058.46,2019
traditional,purchase-only,Alaska,index_nsa,1107.49,2020
traditional,purchase-only,Alaska,index_nsa,1226.26,2021
traditional,purchase-only,Alaska,index_nsa,658.44,2022
non-metro,all-transactions,Alaska,index_nsa,0,1975
non-metro,all-transactions,Alaska,index_nsa,0,1976
non-metro,all-transactions,Alaska,index_nsa,0,1977
non-metro,all-transactions,Alaska,index_nsa,0,1978
non-metro,all-transactions,Alaska,index_nsa,0,1979
non-metro,all-transactions,Alaska,index_nsa,0,1980
non-metro,all-transactions,Alaska,index_nsa,0,1981
non-metro,all-transactions,Alaska,index_nsa,0,1982
non-metro,all-transactions,Alaska,index_nsa,0,1983
non-metro,all-transactions,Alaska,index_nsa,0,1984
non-metro,all-transactions,Alaska,index_nsa,0,1985
non-metro,all-transactions,Alaska,index_nsa,0,1986
non-metro,all-transactions,Alaska,index_nsa,0,1987
non-metro,all-transactions,Alaska,index_nsa,0,1988
non-metro,all-transactions,Alaska,index_nsa,0,1989
non-metro,all-transactions,Alaska,index_nsa,0,1990
non-metro,all-transactions,Alaska,index_nsa,0,1991
non-metro,all-transactions,Alaska,index_nsa,0,1992
non-metro,all-transactions,Alaska,index_nsa,0,1993
non-metro,all-transactions,Alaska,index_nsa,0,1994
non-metro,all-transactions,Alaska,index_nsa,410.53,1995
non-metro,all-transactions,Alaska,index_nsa,435.88,1996
non-metro,all-transactions,Alaska,index_nsa,445.46,1997
non-metro,all-transactions,Alaska,index_nsa,450.99,1998
non-metro,all-transactions,Alaska,index_nsa,463.56,1999
non-metro,all-transactions,Alaska,index_nsa,470.49,2000
non-metro,all-transactions,Alaska,index_nsa,486.96,2001
non-metro,all-transactions,Alaska,index_nsa,497.56,2002
non-metro,all-transactions,Alaska,index_nsa,514.19,2003
non-metro,all-transactions,Alaska,index_nsa,556.47,2004
non-metro,all-transactions,Alaska,index_nsa,624.41,2005
non-metro,all-transactions,Alaska,index_nsa,690.04,2006
non-metro,all-transactions,Alaska,index_nsa,725.36,2007
non-metro,all-transactions,Alaska,index_nsa,727.31,2008
non-metro,all-transactions,Alaska,index_nsa,723.84,2009
non-metro,all-transactions,Alaska,index_nsa,714.92,2010
non-metro,all-transactions,Alaska,index_nsa,729.92,2011
non-metro,all-transactions,Alaska,index_nsa,741.75,2012
non-metro,all-transactions,Alaska,index_nsa,761.75,2013
non-metro,all-transactions,Alaska,index_nsa,774.46,2014
non-metro,all-transactions,Alaska,index_nsa,810.07,2015
non-metro,all-transactions,Alaska,index_nsa,828.86,2016
non-metro,all-transactions,Alaska,index_nsa,846.56,2017
non-metro,all-transactions,Alaska,index_nsa,870.84,2018
non-metro,all-transactions,Alaska,index_nsa,891.19,2019
non-metro,all-transactions,Alaska,index_nsa,921.07,2020
non-metro,all-transactions,Alaska,index_nsa,1005.27,2021
non-metro,all-transactions,Alaska,index_nsa,552.93,2022
non-metro,expanded-data,Alaska,index_nsa,0,1975
non-metro,expanded-data,Alaska,index_nsa,0,1976
non-metro,expanded-data,Alaska,index_nsa,0,1977
non-metro,expanded-data,Alaska,index_nsa,0,1978
non-metro,expanded-data,Alaska,index_nsa,0,1979
non-metro,expanded-data,Alaska,index_nsa,0,1980
non-metro,expanded-data,Alaska,index_nsa,0,1981
non-metro,expanded-data,Alaska,index_nsa,0,1982
non-metro,expanded-data,Alaska,index_nsa,0,1983
non-metro,expanded-data,Alaska,index_nsa,0,1984
non-metro,expanded-data,Alaska,index_nsa,0,1985
non-metro,expanded-data,Alaska,index_nsa,0,1986
non-metro,expanded-data,Alaska,index_nsa,0,1987
non-metro,expanded-data,Alaska,index_nsa,0,1988
non-metro,expanded-data,Alaska,index_nsa,0,1989
non-metro,expanded-data,Alaska,index_nsa,0,1990
non-metro,expanded-data,Alaska,index_nsa,0,1991
non-metro,expanded-data,Alaska,index_nsa,0,1992
non-metro,expanded-data,Alaska,index_nsa,0,1993
non-metro,expanded-data,Alaska,index_nsa,0,1994
non-metro,expanded-data,Alaska,index_nsa,0,1995
non-metro,expanded-data,Alaska,index_nsa,0,1996
non-metro,expanded-data,Alaska,index_nsa,0,1997
non-metro,expanded-data,Alaska,index_nsa,0,1998
non-metro,expanded-data,Alaska,index_nsa,0,1999
non-metro,expanded-data,Alaska,index_nsa,0,2000
non-metro,expanded-data,Alaska,index_nsa,0,2001
non-metro,expanded-data,Alaska,index_nsa,0,2002
non-metro,expanded-data,Alaska,index_nsa,0,2003
non-metro,expanded-data,Alaska,index_nsa,0,2004
non-metro,expanded-data,Alaska,index_nsa,0,2005
non-metro,expanded-data,Alaska,index_nsa,0,2006
non-metro,expanded-data,Alaska,index_nsa,0,2007
non-metro,expanded-data,Alaska,index_nsa,0,2008
non-metro,expanded-data,Alaska,index_nsa,0,2009
non-metro,expanded-data,Alaska,index_nsa,0,2010
non-metro,expanded-data,Alaska,index_nsa,0,2011
non-metro,expanded-data,Alaska,index_nsa,0,2012
