CONCAT,State Name,Year,index_nsa
Alaska_1975,Alaska_,ka_1975,200.74
Alaska_1976,Alaska_,ka_1976,295.63
Alaska_1977,Alaska_,ka_1977,313.37
Alaska_1978,Alaska_,ka_1978,344.02
Alaska_1979,Alaska_,ka_1979,379.99
Alaska_1980,Alaska_,ka_1980,351.3
Alaska_1981,Alaska_,ka_1981,443.39
Alaska_1982,Alaska_,ka_1982,544.94
Alaska_1983,Alaska_,ka_1983,571.59
Alaska_1984,Alaska_,ka_1984,604.54
Alaska_1985,Alaska_,ka_1985,577.14
Alaska_1986,Alaska_,ka_1986,565.12
Alaska_1987,Alaska_,ka_1987,478.84
Alaska_1988,Alaska_,ka_1988,494.49
Alaska_1989,Alaska_,ka_1989,438.98
Alaska_1990,Alaska_,ka_1990,453.01
Alaska_1991,Alaska_,ka_1991,513.94
Alaska_1992,Alaska_,ka_1992,538.02
Alaska_1993,Alaska_,ka_1993,548.88
Alaska_1994,Alaska_,ka_1994,573.65
Alaska_1995,Alaska_,ka_1995,597.87
Alaska_1996,Alaska_,ka_1996,624.87
Alaska_1997,Alaska_,ka_1997,642.33
Alaska_1998,Alaska_,ka_1998,662.4
Alaska_1999,Alaska_,ka_1999,685.45
Alaska_2000,Alaska_,ka_2000,696.96
Alaska_2001,Alaska_,ka_2001,731.95
Alaska_2002,Alaska_,ka_2002,771.83
Alaska_2003,Alaska_,ka_2003,809.96
Alaska_2004,Alaska_,ka_2004,891.39
Alaska_2005,Alaska_,ka_2005,1001.5
Alaska_2006,Alaska_,ka_2006,1099.92
Alaska_2007,Alaska_,ka_2007,1143.16
Alaska_2008,Alaska_,ka_2008,1138.34
Alaska_2009,Alaska_,ka_2009,1132.64
Alaska_2010,Alaska_,ka_2010,1126.21
Alaska_2011,Alaska_,ka_2011,1135.51
Alaska_2012,Alaska_,ka_2012,1140.63
Alaska_2013,Alaska_,ka_2013,1174.99
Alaska_2014,Alaska_,ka_2014,1198.87
Alaska_2015,Alaska_,ka_2015,1238.91
Alaska_2016,Alaska_,ka_2016,1262.97
Alaska_2017,Alaska_,ka_2017,1279.09
Alaska_2018,Alaska_,ka_2018,1291.59
Alaska_2019,Alaska_,ka_2019,1321.65
Alaska_2020,Alaska_,ka_2020,1365.7
Alaska_2021,Alaska_,ka_2021,1479.27
Alaska_2022,Alaska_,ka_2022,811.82
Alabama_1975,Alabama_,ama_1975,293.52
Alabama_1976,Alabama_,ama_1976,308.32
Alabama_1977,Alabama_,ama_1977,342.38
Alabama_1978,Alabama_,ama_1978,370.08
Alabama_1979,Alabama_,ama_1979,409.22
Alabama_1980,Alabama_,ama_1980,421.81
Alabama_1981,Alabama_,ama_1981,433.45
Alabama_1982,Alabama_,ama_1982,439.39
Alabama_1983,Alabama_,ama_1983,459.61
Alabama_1984,Alabama_,ama_1984,489.77
Alabama_1985,Alabama_,ama_1985,501.71
Alabama_1986,Alabama_,ama_1986,530.72
Alabama_1987,Alabama_,ama_1987,555.24
Alabama_1988,Alabama_,ama_1988,569.05
Alabama_1989,Alabama_,ama_1989,577.01
Alabama_1990,Alabama_,ama_1990,586.91
Alabama_1991,Alabama_,ama_1991,605.65
Alabama_1992,Alabama_,ama_1992,629.72
Alabama_1993,Alabama_,ama_1993,656.63
Alabama_1994,Alabama_,ama_1994,680.58
